Cuda is available!
Step [10/100000], d_real_loss: 0.2485, d_mnist_loss: 0.1324, d_svhn_loss: 0.1161, d_fake_loss: 0.1903, g_loss: 1.2494 
Step [160/100000], d_real_loss: 0.4049, d_mnist_loss: 0.0816, d_svhn_loss: 0.3234, d_fake_loss: 0.2672, g_loss: 1.1398 
Step [170/100000], d_real_loss: 0.2818, d_mnist_loss: 0.0151, d_svhn_loss: 0.2667, d_fake_loss: 0.2525, g_loss: 0.9765 
Step [180/100000], d_real_loss: 0.2715, d_mnist_loss: 0.0274, d_svhn_loss: 0.2441, d_fake_loss: 0.1994, g_loss: 1.2281 
Step [190/100000], d_real_loss: 0.2777, d_mnist_loss: 0.0630, d_svhn_loss: 0.2147, d_fake_loss: 0.3290, g_loss: 1.3152 
Step [200/100000], d_real_loss: 0.3336, d_mnist_loss: 0.0317, d_svhn_loss: 0.3019, d_fake_loss: 0.2543, g_loss: 1.1023 
Step [210/100000], d_real_loss: 0.2967, d_mnist_loss: 0.0178, d_svhn_loss: 0.2789, d_fake_loss: 0.1663, g_loss: 1.2942 
Step [220/100000], d_real_loss: 0.2198, d_mnist_loss: 0.0415, d_svhn_loss: 0.1783, d_fake_loss: 0.1156, g_loss: 1.4704 
Step [230/100000], d_real_loss: 0.3069, d_mnist_loss: 0.0169, d_svhn_loss: 0.2900, d_fake_loss: 0.2545, g_loss: 1.2419 
Step [240/100000], d_real_loss: 0.3862, d_mnist_loss: 0.0214, d_svhn_loss: 0.3648, d_fake_loss: 0.3303, g_loss: 1.4322 
Step [250/100000], d_real_loss: 0.2027, d_mnist_loss: 0.0383, d_svhn_loss: 0.1644, d_fake_loss: 0.2929, g_loss: 1.2697 
Step [260/100000], d_real_loss: 0.4108, d_mnist_loss: 0.0807, d_svhn_loss: 0.3301, d_fake_loss: 0.4560, g_loss: 2.1939 
Step [270/100000], d_real_loss: 0.1616, d_mnist_loss: 0.0160, d_svhn_loss: 0.1456, d_fake_loss: 0.2451, g_loss: 1.6829 
Step [280/100000], d_real_loss: 0.2380, d_mnist_loss: 0.0295, d_svhn_loss: 0.2084, d_fake_loss: 0.2279, g_loss: 1.7781 
Step [290/100000], d_real_loss: 0.2238, d_mnist_loss: 0.0091, d_svhn_loss: 0.2146, d_fake_loss: 0.1679, g_loss: 1.5886 
Step [300/100000], d_real_loss: 0.6360, d_mnist_loss: 0.5174, d_svhn_loss: 0.1186, d_fake_loss: 1.6252, g_loss: 2.1926 
Step [310/100000], d_real_loss: 0.1708, d_mnist_loss: 0.0429, d_svhn_loss: 0.1280, d_fake_loss: 0.1632, g_loss: 1.3235 
Step [320/100000], d_real_loss: 0.2219, d_mnist_loss: 0.0444, d_svhn_loss: 0.1775, d_fake_loss: 0.1781, g_loss: 0.9325 
Step [330/100000], d_real_loss: 0.1992, d_mnist_loss: 0.0517, d_svhn_loss: 0.1475, d_fake_loss: 0.2416, g_loss: 1.1368 
Step [340/100000], d_real_loss: 0.1519, d_mnist_loss: 0.0432, d_svhn_loss: 0.1087, d_fake_loss: 0.1452, g_loss: 1.4774 
Step [350/100000], d_real_loss: 0.1382, d_mnist_loss: 0.0421, d_svhn_loss: 0.0961, d_fake_loss: 0.0866, g_loss: 1.4464 
Step [360/100000], d_real_loss: 0.2535, d_mnist_loss: 0.0286, d_svhn_loss: 0.2249, d_fake_loss: 0.6541, g_loss: 1.3969 
Step [370/100000], d_real_loss: 0.3207, d_mnist_loss: 0.0299, d_svhn_loss: 0.2908, d_fake_loss: 0.2174, g_loss: 1.3168 
Step [380/100000], d_real_loss: 0.4245, d_mnist_loss: 0.2505, d_svhn_loss: 0.1740, d_fake_loss: 0.2876, g_loss: 1.1154 
Step [390/100000], d_real_loss: 0.1769, d_mnist_loss: 0.0216, d_svhn_loss: 0.1553, d_fake_loss: 0.2211, g_loss: 1.1516 
Step [400/100000], d_real_loss: 0.1742, d_mnist_loss: 0.0527, d_svhn_loss: 0.1214, d_fake_loss: 0.2283, g_loss: 1.2364 
Step [410/100000], d_real_loss: 0.1951, d_mnist_loss: 0.0483, d_svhn_loss: 0.1468, d_fake_loss: 0.2436, g_loss: 1.5619 
Step [420/100000], d_real_loss: 0.4250, d_mnist_loss: 0.1624, d_svhn_loss: 0.2626, d_fake_loss: 0.3676, g_loss: 2.5820 
Step [430/100000], d_real_loss: 0.2461, d_mnist_loss: 0.0420, d_svhn_loss: 0.2041, d_fake_loss: 0.2223, g_loss: 1.7302 
Step [440/100000], d_real_loss: 0.1653, d_mnist_loss: 0.0292, d_svhn_loss: 0.1361, d_fake_loss: 0.1809, g_loss: 1.3879 
Step [450/100000], d_real_loss: 0.2279, d_mnist_loss: 0.0189, d_svhn_loss: 0.2089, d_fake_loss: 0.1560, g_loss: 1.2444 
Step [460/100000], d_real_loss: 0.4030, d_mnist_loss: 0.1259, d_svhn_loss: 0.2771, d_fake_loss: 0.4838, g_loss: 1.4224 
Step [470/100000], d_real_loss: 0.3684, d_mnist_loss: 0.1018, d_svhn_loss: 0.2666, d_fake_loss: 0.2753, g_loss: 1.1032 
Step [480/100000], d_real_loss: 0.1933, d_mnist_loss: 0.0318, d_svhn_loss: 0.1615, d_fake_loss: 0.2548, g_loss: 1.3648 
Step [490/100000], d_real_loss: 0.2773, d_mnist_loss: 0.0641, d_svhn_loss: 0.2132, d_fake_loss: 0.2369, g_loss: 0.9745 
Step [500/100000], d_real_loss: 0.2676, d_mnist_loss: 0.0709, d_svhn_loss: 0.1968, d_fake_loss: 0.2792, g_loss: 1.3385 
Step [510/100000], d_real_loss: 0.2784, d_mnist_loss: 0.0325, d_svhn_loss: 0.2460, d_fake_loss: 0.1295, g_loss: 1.2272 
Step [520/100000], d_real_loss: 0.2477, d_mnist_loss: 0.0796, d_svhn_loss: 0.1681, d_fake_loss: 0.2404, g_loss: 1.1943 
Step [530/100000], d_real_loss: 0.2366, d_mnist_loss: 0.0213, d_svhn_loss: 0.2153, d_fake_loss: 0.2807, g_loss: 1.3797 
Step [540/100000], d_real_loss: 0.4551, d_mnist_loss: 0.0277, d_svhn_loss: 0.4274, d_fake_loss: 0.3603, g_loss: 0.8963 
Step [550/100000], d_real_loss: 0.3396, d_mnist_loss: 0.0326, d_svhn_loss: 0.3070, d_fake_loss: 0.2822, g_loss: 0.9897 
Step [560/100000], d_real_loss: 0.2277, d_mnist_loss: 0.0251, d_svhn_loss: 0.2026, d_fake_loss: 0.2953, g_loss: 1.3424 
Step [570/100000], d_real_loss: 0.1577, d_mnist_loss: 0.0223, d_svhn_loss: 0.1353, d_fake_loss: 0.1527, g_loss: 0.9967 
Step [580/100000], d_real_loss: 0.2188, d_mnist_loss: 0.0380, d_svhn_loss: 0.1808, d_fake_loss: 0.2864, g_loss: 0.8717 
Step [590/100000], d_real_loss: 0.2273, d_mnist_loss: 0.0360, d_svhn_loss: 0.1913, d_fake_loss: 0.2118, g_loss: 1.3405 
Step [600/100000], d_real_loss: 0.2341, d_mnist_loss: 0.1230, d_svhn_loss: 0.1110, d_fake_loss: 0.1749, g_loss: 1.0805 
Step [610/100000], d_real_loss: 0.2089, d_mnist_loss: 0.0193, d_svhn_loss: 0.1896, d_fake_loss: 0.2025, g_loss: 1.0526 
Step [620/100000], d_real_loss: 0.2119, d_mnist_loss: 0.0290, d_svhn_loss: 0.1829, d_fake_loss: 0.3440, g_loss: 1.5141 
Step [630/100000], d_real_loss: 0.2334, d_mnist_loss: 0.0647, d_svhn_loss: 0.1686, d_fake_loss: 0.2476, g_loss: 1.3362 
Step [640/100000], d_real_loss: 0.1971, d_mnist_loss: 0.0243, d_svhn_loss: 0.1728, d_fake_loss: 0.2545, g_loss: 1.6175 
Step [650/100000], d_real_loss: 0.2589, d_mnist_loss: 0.0525, d_svhn_loss: 0.2064, d_fake_loss: 0.2306, g_loss: 1.1816 
Step [660/100000], d_real_loss: 0.1925, d_mnist_loss: 0.0252, d_svhn_loss: 0.1674, d_fake_loss: 0.2108, g_loss: 1.3138 
Step [670/100000], d_real_loss: 0.3192, d_mnist_loss: 0.1212, d_svhn_loss: 0.1980, d_fake_loss: 0.2517, g_loss: 1.1404 
Step [680/100000], d_real_loss: 0.1766, d_mnist_loss: 0.0340, d_svhn_loss: 0.1426, d_fake_loss: 0.2921, g_loss: 1.3039 
Step [690/100000], d_real_loss: 0.2638, d_mnist_loss: 0.0240, d_svhn_loss: 0.2398, d_fake_loss: 0.2317, g_loss: 1.2962 
Step [700/100000], d_real_loss: 0.1635, d_mnist_loss: 0.0296, d_svhn_loss: 0.1339, d_fake_loss: 0.2329, g_loss: 1.4000 
Step [710/100000], d_real_loss: 0.2654, d_mnist_loss: 0.0306, d_svhn_loss: 0.2349, d_fake_loss: 0.1526, g_loss: 1.1540 
Step [720/100000], d_real_loss: 0.3242, d_mnist_loss: 0.0257, d_svhn_loss: 0.2984, d_fake_loss: 0.2044, g_loss: 1.1804 
Step [730/100000], d_real_loss: 0.3629, d_mnist_loss: 0.1267, d_svhn_loss: 0.2362, d_fake_loss: 0.2486, g_loss: 1.1848 
Step [740/100000], d_real_loss: 0.2639, d_mnist_loss: 0.0687, d_svhn_loss: 0.1953, d_fake_loss: 0.2468, g_loss: 1.2591 
Step [750/100000], d_real_loss: 0.3092, d_mnist_loss: 0.0358, d_svhn_loss: 0.2735, d_fake_loss: 0.3295, g_loss: 1.3583 
Step [760/100000], d_real_loss: 0.2500, d_mnist_loss: 0.0563, d_svhn_loss: 0.1937, d_fake_loss: 0.3400, g_loss: 1.3868 
Step [770/100000], d_real_loss: 0.2281, d_mnist_loss: 0.0427, d_svhn_loss: 0.1854, d_fake_loss: 0.2657, g_loss: 1.1217 
Step [780/100000], d_real_loss: 0.4674, d_mnist_loss: 0.0672, d_svhn_loss: 0.4002, d_fake_loss: 0.3327, g_loss: 1.3660 
Step [790/100000], d_real_loss: 0.3195, d_mnist_loss: 0.0357, d_svhn_loss: 0.2838, d_fake_loss: 0.2258, g_loss: 1.2260 
Step [800/100000], d_real_loss: 0.2873, d_mnist_loss: 0.0335, d_svhn_loss: 0.2537, d_fake_loss: 0.2303, g_loss: 1.1013 
Step [810/100000], d_real_loss: 0.3298, d_mnist_loss: 0.0252, d_svhn_loss: 0.3046, d_fake_loss: 0.1648, g_loss: 1.3017 
Step [820/100000], d_real_loss: 0.2797, d_mnist_loss: 0.0753, d_svhn_loss: 0.2045, d_fake_loss: 0.5001, g_loss: 1.7329 
Step [830/100000], d_real_loss: 0.2497, d_mnist_loss: 0.0250, d_svhn_loss: 0.2246, d_fake_loss: 0.2090, g_loss: 1.2043 
Step [840/100000], d_real_loss: 0.2576, d_mnist_loss: 0.0399, d_svhn_loss: 0.2177, d_fake_loss: 0.2740, g_loss: 1.3797 
Step [850/100000], d_real_loss: 0.2647, d_mnist_loss: 0.0220, d_svhn_loss: 0.2427, d_fake_loss: 0.4603, g_loss: 1.6684 
Step [860/100000], d_real_loss: 0.2371, d_mnist_loss: 0.0551, d_svhn_loss: 0.1820, d_fake_loss: 0.2844, g_loss: 1.1064 
Step [870/100000], d_real_loss: 0.2250, d_mnist_loss: 0.0817, d_svhn_loss: 0.1433, d_fake_loss: 0.1517, g_loss: 1.1279 
Step [880/100000], d_real_loss: 0.1688, d_mnist_loss: 0.0267, d_svhn_loss: 0.1420, d_fake_loss: 0.2418, g_loss: 1.1885 
Step [890/100000], d_real_loss: 0.4525, d_mnist_loss: 0.1157, d_svhn_loss: 0.3368, d_fake_loss: 0.2867, g_loss: 1.0477 
Step [900/100000], d_real_loss: 0.3898, d_mnist_loss: 0.0790, d_svhn_loss: 0.3108, d_fake_loss: 0.2108, g_loss: 1.1929 
Step [910/100000], d_real_loss: 0.2519, d_mnist_loss: 0.0369, d_svhn_loss: 0.2150, d_fake_loss: 0.3099, g_loss: 1.3096 
Step [920/100000], d_real_loss: 0.2162, d_mnist_loss: 0.0306, d_svhn_loss: 0.1856, d_fake_loss: 0.1674, g_loss: 1.2114 
Step [930/100000], d_real_loss: 0.2702, d_mnist_loss: 0.0431, d_svhn_loss: 0.2271, d_fake_loss: 0.2295, g_loss: 1.1354 
Step [940/100000], d_real_loss: 0.3471, d_mnist_loss: 0.1083, d_svhn_loss: 0.2388, d_fake_loss: 0.4004, g_loss: 1.3207 
Step [950/100000], d_real_loss: 0.2533, d_mnist_loss: 0.0190, d_svhn_loss: 0.2343, d_fake_loss: 0.2561, g_loss: 1.3997 
Step [960/100000], d_real_loss: 0.2348, d_mnist_loss: 0.0218, d_svhn_loss: 0.2130, d_fake_loss: 0.2366, g_loss: 1.4917 
Step [970/100000], d_real_loss: 0.1499, d_mnist_loss: 0.0094, d_svhn_loss: 0.1405, d_fake_loss: 0.2086, g_loss: 1.1419 
Step [980/100000], d_real_loss: 0.2616, d_mnist_loss: 0.0207, d_svhn_loss: 0.2409, d_fake_loss: 0.2157, g_loss: 1.0040 
Step [990/100000], d_real_loss: 0.1443, d_mnist_loss: 0.0430, d_svhn_loss: 0.1012, d_fake_loss: 0.2181, g_loss: 1.3175 
Step [1000/100000], d_real_loss: 0.2854, d_mnist_loss: 0.0814, d_svhn_loss: 0.2039, d_fake_loss: 0.1451, g_loss: 1.0437 
Step [1010/100000], d_real_loss: 0.6092, d_mnist_loss: 0.3146, d_svhn_loss: 0.2946, d_fake_loss: 0.2113, g_loss: 2.4252 
Step [1020/100000], d_real_loss: 0.2634, d_mnist_loss: 0.0695, d_svhn_loss: 0.1939, d_fake_loss: 0.2638, g_loss: 1.0994 
Step [1030/100000], d_real_loss: 0.2150, d_mnist_loss: 0.0256, d_svhn_loss: 0.1894, d_fake_loss: 0.2000, g_loss: 1.0083 
Step [1040/100000], d_real_loss: 0.2032, d_mnist_loss: 0.0173, d_svhn_loss: 0.1859, d_fake_loss: 0.1690, g_loss: 1.1780 
Step [1050/100000], d_real_loss: 0.3209, d_mnist_loss: 0.1269, d_svhn_loss: 0.1940, d_fake_loss: 0.3672, g_loss: 1.7075 
Step [1060/100000], d_real_loss: 0.1887, d_mnist_loss: 0.0184, d_svhn_loss: 0.1703, d_fake_loss: 0.1819, g_loss: 1.1948 
Step [1070/100000], d_real_loss: 0.1938, d_mnist_loss: 0.0203, d_svhn_loss: 0.1735, d_fake_loss: 0.2791, g_loss: 1.2250 
Step [1080/100000], d_real_loss: 0.2661, d_mnist_loss: 0.0305, d_svhn_loss: 0.2356, d_fake_loss: 0.2378, g_loss: 1.2054 
Step [1090/100000], d_real_loss: 0.1600, d_mnist_loss: 0.0471, d_svhn_loss: 0.1130, d_fake_loss: 0.2129, g_loss: 1.1724 
Step [1100/100000], d_real_loss: 0.2631, d_mnist_loss: 0.0896, d_svhn_loss: 0.1736, d_fake_loss: 0.3252, g_loss: 1.1526 
Step [1110/100000], d_real_loss: 0.1846, d_mnist_loss: 0.0217, d_svhn_loss: 0.1629, d_fake_loss: 0.2144, g_loss: 1.1255 
Step [1120/100000], d_real_loss: 0.2078, d_mnist_loss: 0.0332, d_svhn_loss: 0.1746, d_fake_loss: 0.2119, g_loss: 1.1815 
Step [1130/100000], d_real_loss: 0.2589, d_mnist_loss: 0.0335, d_svhn_loss: 0.2254, d_fake_loss: 0.3299, g_loss: 1.2705 
Step [1140/100000], d_real_loss: 0.2158, d_mnist_loss: 0.0260, d_svhn_loss: 0.1898, d_fake_loss: 0.2401, g_loss: 1.1266 
Step [1150/100000], d_real_loss: 0.3082, d_mnist_loss: 0.0711, d_svhn_loss: 0.2371, d_fake_loss: 0.2235, g_loss: 1.0415 
Step [1160/100000], d_real_loss: 0.2454, d_mnist_loss: 0.0516, d_svhn_loss: 0.1938, d_fake_loss: 0.2970, g_loss: 1.1548 
Step [1170/100000], d_real_loss: 0.1448, d_mnist_loss: 0.0286, d_svhn_loss: 0.1162, d_fake_loss: 0.1897, g_loss: 1.0299 
Step [1180/100000], d_real_loss: 0.1625, d_mnist_loss: 0.0123, d_svhn_loss: 0.1503, d_fake_loss: 0.1707, g_loss: 1.2431 
Step [1190/100000], d_real_loss: 0.2975, d_mnist_loss: 0.1333, d_svhn_loss: 0.1642, d_fake_loss: 0.2960, g_loss: 1.1387 
Step [1200/100000], d_real_loss: 0.1791, d_mnist_loss: 0.0333, d_svhn_loss: 0.1457, d_fake_loss: 0.2864, g_loss: 1.2926 
Step [1210/100000], d_real_loss: 0.1925, d_mnist_loss: 0.0162, d_svhn_loss: 0.1763, d_fake_loss: 0.1841, g_loss: 1.2687 
Step [1220/100000], d_real_loss: 0.2028, d_mnist_loss: 0.0255, d_svhn_loss: 0.1773, d_fake_loss: 0.1879, g_loss: 1.0902 
Step [1230/100000], d_real_loss: 0.3139, d_mnist_loss: 0.0929, d_svhn_loss: 0.2211, d_fake_loss: 0.2041, g_loss: 1.1132 
Step [1240/100000], d_real_loss: 0.1357, d_mnist_loss: 0.0197, d_svhn_loss: 0.1161, d_fake_loss: 0.2566, g_loss: 1.3373 
Step [1250/100000], d_real_loss: 0.3751, d_mnist_loss: 0.0833, d_svhn_loss: 0.2918, d_fake_loss: 0.2534, g_loss: 1.2777 
Step [1260/100000], d_real_loss: 0.2062, d_mnist_loss: 0.0265, d_svhn_loss: 0.1798, d_fake_loss: 0.1251, g_loss: 1.3226 
Step [1270/100000], d_real_loss: 0.2463, d_mnist_loss: 0.0419, d_svhn_loss: 0.2044, d_fake_loss: 0.1733, g_loss: 1.1788 
Step [1280/100000], d_real_loss: 0.1771, d_mnist_loss: 0.0467, d_svhn_loss: 0.1304, d_fake_loss: 0.1612, g_loss: 1.2113 
Step [1290/100000], d_real_loss: 0.1994, d_mnist_loss: 0.0147, d_svhn_loss: 0.1847, d_fake_loss: 0.1116, g_loss: 1.2179 
Step [1300/100000], d_real_loss: 0.1310, d_mnist_loss: 0.0404, d_svhn_loss: 0.0906, d_fake_loss: 0.0942, g_loss: 0.9951 
Step [1310/100000], d_real_loss: 0.2043, d_mnist_loss: 0.0189, d_svhn_loss: 0.1855, d_fake_loss: 0.1445, g_loss: 1.1407 
Step [1320/100000], d_real_loss: 0.2753, d_mnist_loss: 0.0566, d_svhn_loss: 0.2188, d_fake_loss: 0.1855, g_loss: 1.1077 
Step [1330/100000], d_real_loss: 0.1748, d_mnist_loss: 0.0331, d_svhn_loss: 0.1416, d_fake_loss: 0.3222, g_loss: 1.1941 
Step [1340/100000], d_real_loss: 0.1908, d_mnist_loss: 0.0990, d_svhn_loss: 0.0917, d_fake_loss: 0.1800, g_loss: 1.1423 
Step [1350/100000], d_real_loss: 0.1898, d_mnist_loss: 0.0286, d_svhn_loss: 0.1612, d_fake_loss: 0.1668, g_loss: 1.1075 
Step [1360/100000], d_real_loss: 0.3128, d_mnist_loss: 0.0464, d_svhn_loss: 0.2664, d_fake_loss: 0.3528, g_loss: 1.2293 
Step [1370/100000], d_real_loss: 0.2139, d_mnist_loss: 0.0399, d_svhn_loss: 0.1740, d_fake_loss: 0.1139, g_loss: 1.0141 
Step [1380/100000], d_real_loss: 0.2507, d_mnist_loss: 0.0350, d_svhn_loss: 0.2157, d_fake_loss: 0.2042, g_loss: 1.1238 
Step [1390/100000], d_real_loss: 0.1451, d_mnist_loss: 0.0569, d_svhn_loss: 0.0882, d_fake_loss: 0.1470, g_loss: 1.0661 
Step [1400/100000], d_real_loss: 0.2209, d_mnist_loss: 0.0695, d_svhn_loss: 0.1514, d_fake_loss: 0.2487, g_loss: 1.1397 
Step [1410/100000], d_real_loss: 0.1321, d_mnist_loss: 0.0151, d_svhn_loss: 0.1170, d_fake_loss: 0.1590, g_loss: 1.3366 
Step [1420/100000], d_real_loss: 0.1884, d_mnist_loss: 0.0138, d_svhn_loss: 0.1747, d_fake_loss: 0.1999, g_loss: 1.4105 
Step [1430/100000], d_real_loss: 0.1853, d_mnist_loss: 0.0292, d_svhn_loss: 0.1561, d_fake_loss: 0.1653, g_loss: 1.5861 
Step [1440/100000], d_real_loss: 0.4452, d_mnist_loss: 0.2126, d_svhn_loss: 0.2326, d_fake_loss: 0.0820, g_loss: 1.0062 
Step [1450/100000], d_real_loss: 0.2127, d_mnist_loss: 0.0368, d_svhn_loss: 0.1759, d_fake_loss: 0.1875, g_loss: 1.0985 
Step [1460/100000], d_real_loss: 0.1091, d_mnist_loss: 0.0220, d_svhn_loss: 0.0871, d_fake_loss: 0.1710, g_loss: 1.4904 
Step [1470/100000], d_real_loss: 0.2948, d_mnist_loss: 0.0699, d_svhn_loss: 0.2250, d_fake_loss: 0.2121, g_loss: 1.2293 
Step [1480/100000], d_real_loss: 0.2994, d_mnist_loss: 0.0989, d_svhn_loss: 0.2005, d_fake_loss: 0.1562, g_loss: 1.1058 
Step [1490/100000], d_real_loss: 0.1560, d_mnist_loss: 0.0411, d_svhn_loss: 0.1149, d_fake_loss: 0.1314, g_loss: 1.1491 
Step [1500/100000], d_real_loss: 0.2277, d_mnist_loss: 0.0398, d_svhn_loss: 0.1878, d_fake_loss: 0.2207, g_loss: 1.1613 
Step [1510/100000], d_real_loss: 0.1720, d_mnist_loss: 0.0209, d_svhn_loss: 0.1511, d_fake_loss: 0.1459, g_loss: 1.1748 
Step [1520/100000], d_real_loss: 0.0995, d_mnist_loss: 0.0160, d_svhn_loss: 0.0835, d_fake_loss: 0.1558, g_loss: 1.3015 
Step [1530/100000], d_real_loss: 0.2451, d_mnist_loss: 0.0340, d_svhn_loss: 0.2110, d_fake_loss: 0.1201, g_loss: 1.1302 
Step [1540/100000], d_real_loss: 0.1885, d_mnist_loss: 0.0140, d_svhn_loss: 0.1745, d_fake_loss: 0.1353, g_loss: 1.2448 
Step [1550/100000], d_real_loss: 0.1305, d_mnist_loss: 0.0376, d_svhn_loss: 0.0929, d_fake_loss: 0.2007, g_loss: 1.1179 
Step [1560/100000], d_real_loss: 0.2682, d_mnist_loss: 0.0375, d_svhn_loss: 0.2307, d_fake_loss: 0.1972, g_loss: 1.1109 
Step [1570/100000], d_real_loss: 0.1801, d_mnist_loss: 0.0136, d_svhn_loss: 0.1665, d_fake_loss: 0.1413, g_loss: 1.1434 
Step [1580/100000], d_real_loss: 0.2760, d_mnist_loss: 0.0167, d_svhn_loss: 0.2593, d_fake_loss: 0.1787, g_loss: 1.2646 
Step [1590/100000], d_real_loss: 0.2279, d_mnist_loss: 0.0125, d_svhn_loss: 0.2154, d_fake_loss: 0.1386, g_loss: 1.0220 
Step [1600/100000], d_real_loss: 0.1531, d_mnist_loss: 0.0834, d_svhn_loss: 0.0697, d_fake_loss: 0.1763, g_loss: 1.1243 
Step [1610/100000], d_real_loss: 0.1244, d_mnist_loss: 0.0127, d_svhn_loss: 0.1117, d_fake_loss: 0.1402, g_loss: 1.0312 
Step [1620/100000], d_real_loss: 0.2631, d_mnist_loss: 0.0671, d_svhn_loss: 0.1960, d_fake_loss: 0.1306, g_loss: 1.1259 
Step [1630/100000], d_real_loss: 0.1498, d_mnist_loss: 0.0167, d_svhn_loss: 0.1330, d_fake_loss: 0.3281, g_loss: 1.5359 
Step [1640/100000], d_real_loss: 0.2614, d_mnist_loss: 0.0127, d_svhn_loss: 0.2487, d_fake_loss: 0.1361, g_loss: 1.3554 
Step [1650/100000], d_real_loss: 0.0994, d_mnist_loss: 0.0094, d_svhn_loss: 0.0901, d_fake_loss: 0.1109, g_loss: 1.0595 
Step [1660/100000], d_real_loss: 0.1994, d_mnist_loss: 0.0413, d_svhn_loss: 0.1580, d_fake_loss: 0.1720, g_loss: 1.3079 
Step [1670/100000], d_real_loss: 0.1303, d_mnist_loss: 0.0129, d_svhn_loss: 0.1173, d_fake_loss: 0.1104, g_loss: 1.2584 
Step [1680/100000], d_real_loss: 0.2203, d_mnist_loss: 0.0740, d_svhn_loss: 0.1463, d_fake_loss: 0.2190, g_loss: 1.4176 
Step [1690/100000], d_real_loss: 0.1815, d_mnist_loss: 0.0317, d_svhn_loss: 0.1498, d_fake_loss: 0.1584, g_loss: 1.0231 
Step [1700/100000], d_real_loss: 0.1098, d_mnist_loss: 0.0131, d_svhn_loss: 0.0967, d_fake_loss: 0.1603, g_loss: 1.2605 
Step [1710/100000], d_real_loss: 0.1104, d_mnist_loss: 0.0162, d_svhn_loss: 0.0942, d_fake_loss: 0.0851, g_loss: 1.1075 
Step [1720/100000], d_real_loss: 0.2512, d_mnist_loss: 0.0859, d_svhn_loss: 0.1653, d_fake_loss: 0.2331, g_loss: 1.0726 
Step [1730/100000], d_real_loss: 0.1329, d_mnist_loss: 0.0208, d_svhn_loss: 0.1121, d_fake_loss: 0.1259, g_loss: 0.8318 
Step [1740/100000], d_real_loss: 0.1319, d_mnist_loss: 0.0112, d_svhn_loss: 0.1206, d_fake_loss: 0.1108, g_loss: 1.2799 
Step [1750/100000], d_real_loss: 0.1592, d_mnist_loss: 0.0427, d_svhn_loss: 0.1165, d_fake_loss: 0.2867, g_loss: 1.3182 
Step [1760/100000], d_real_loss: 0.2106, d_mnist_loss: 0.0197, d_svhn_loss: 0.1909, d_fake_loss: 0.1720, g_loss: 1.1499 
Step [1770/100000], d_real_loss: 0.2222, d_mnist_loss: 0.1109, d_svhn_loss: 0.1113, d_fake_loss: 0.3468, g_loss: 1.7221 
Step [1780/100000], d_real_loss: 0.2777, d_mnist_loss: 0.0688, d_svhn_loss: 0.2090, d_fake_loss: 0.2305, g_loss: 1.3215 
Step [1790/100000], d_real_loss: 0.1918, d_mnist_loss: 0.0124, d_svhn_loss: 0.1794, d_fake_loss: 0.1269, g_loss: 0.9473 
